Year;Month;Payment Type;State;Country;Product;Quantity;Unit Price;VAT;Total Price
2009;5;CCA;VA;USA;CRM Application;1;99;0;99
2009;6;CCA;VA;USA;CRM Application;1;99;0;99
2009;6;CCA;VA;USA;Invoice Application;1;12,5;0;12,5
2009;6;PAL;;Greece;CRM Application;1;99;19;99
2009;7;CCA;UT;USA;CRM Application;1;99;0;99
2009;7;CCA;;United Kingdom;CRM Application;1;99;19;99
2009;7;CCA;;United Kingdom;CRM Application;1;99;0;99
2009;7;PAL;VA;USA;CRM Application;1;99;0;99
2009;7;PAL;MI;USA;CRM Application;1;99;0;99
2009;8;CCA;NJ;USA;CRM Application;1;129;0;129
2009;8;CCA;TX;USA;ERP Application;1;199;0;199
2009;8;CCA;AL;USA;Invoice Application;1;129;0;129
2009;8;CCA;;Thailand;ERP Application;1;199;0;199
2009;8;CCA;;Thailand;Invoice Application;1;4,99;0;4,99
2009;8;CCA;IN;USA;ERP Application;2;179,1;0;358,2
2009;9;CCA;CA;USA;ERP Application;1;199;0;199
2009;10;CCA;AL;USA;ERP Application;1;199;0;199
2009;10;CCA;;United Kingdom;ERP Application;1;199;0;199
2009;11;CCA;;United Kingdom;BI Application;1;299;0;299
2009;11;CCA;IL;USA;ERP Application;1;199;0;199
2009;11;CCA;;Egypt;BI Application;1;299;0;299
2009;11;CCA;FL;USA;BI Application;1;299;0;299
2009;11;CCA;IL;USA;BI Application;1;299;0;299
2009;12;CCA;LA;USA;Invoice Application;1;199;0;199
2009;12;PAL;TX;USA;BI Application;5;239,2;0;1196
2009;12;CCA;;Germany;Invoice Application;1;199;19;199
2009;12;CCA;FL;USA;BI Application;5;239,2;0;1196
2009;12;CCA;UT;USA;BI Application;5;239,2;0;1196
2009;12;CCA;CA;USA;BI Application;1;299;0;299
2009;12;CCA;BC;Canada;BI Application;1;299;0;299
2010;1;CCA;;Denmark;BI Application;1;499;0;499
2010;1;CCA;;Denmark;CRM Application;1;6,99;0;6,99
2010;1;CCA;PA;USA;BI Application;5;395;0;1975
